observation_id,date,region,soil_type,crop_type,avg_temperature_c,avg_humidity_pct,rainfall_mm,primary_pest_type,pest_severity_score,pest_count_per_plot,treatment_recommended
OBS-00001,2023-04-04,Central_Valley,Sandy,Wheat,25.2,50.6,40.2,Blight_Spores,Low,3,0
OBS-00002,2022-11-24,South_Region,Loam,Barley,38.0,73.4,27.4,Blight_Spores,Medium,5,1
OBS-00003,2022-07-09,East_Region,Loam,Soybean,29.6,87.1,44.1,Beetles,Low,1,0
OBS-00004,2022-02-13,North_Region,Loam,Rice,17.3,54.0,35.0,Armyworms,Low,1,0
OBS-00005,2022-12-28,Central_Valley,Clay,Wheat,11.2,74.9,33.1,Aphids,Low,2,0
OBS-00006,2023-10-09,South_Region,Clay,Tomato,30.6,93.9,25.1,Beetles,High,7,1
OBS-00007,2022-08-24,West_Region,Sandy,Tomato,11.9,77.5,39.4,Armyworms,Low,2,0
OBS-00008,2022-12-31,South_Region,Clay,Soybean,35.6,36.0,19.3,Whiteflies,Low,3,0
OBS-00009,2022-04-12,East_Region,Silt,Tomato,33.9,67.8,3.9,Aphids,Medium,5,1
OBS-00010,2022-04-22,West_Region,Silt,Rice,39.2,31.8,31.0,Aphids,Low,2,0
OBS-00011,2022-04-05,Central_Valley,Loam,Soybean,28.4,90.0,0.2,Beetles,Medium,4,1
OBS-00012,2022-09-18,South_Region,Clay,Tomato,19.1,87.3,39.9,Armyworms,Medium,5,1
OBS-00013,2022-03-24,Central_Valley,Clay,Rice,17.4,48.7,8.0,Whiteflies,Low,1,0
OBS-00014,2023-06-28,North_Region,Silt,Corn,20.2,44.4,7.5,Whiteflies,Medium,4,1
OBS-00015,2022-08-11,East_Region,Sandy,Wheat,13.9,50.1,23.9,Aphids,Low,0,0
OBS-00016,2023-08-15,South_Region,Silt,Corn,11.8,61.7,45.9,Aphids,Low,0,0
OBS-00017,2022-06-09,East_Region,Silt,Cotton,26.1,83.1,13.1,Whiteflies,Medium,6,1
OBS-00018,2022-09-10,South_Region,Silt,Corn,18.3,58.9,41.1,Aphids,Low,0,0
OBS-00019,2022-03-30,North_Region,Silt,Tomato,19.8,39.3,31.2,Whiteflies,Low,2,0
OBS-00020,2023-05-31,East_Region,Clay,Cotton,14.2,94.2,16.9,Blight_Spores,Medium,4,1
OBS-00021,2022-03-01,Central_Valley,Clay,Soybean,32.4,73.7,43.8,Beetles,Low,2,0
OBS-00022,2022-12-11,West_Region,Silt,Soybean,35.2,55.4,31.9,Armyworms,Low,2,0
OBS-00023,2023-07-28,East_Region,Sandy,Corn,15.4,93.1,29.8,Aphids,Medium,6,1
OBS-00024,2023-05-12,Central_Valley,Clay,Cotton,31.1,44.3,11.3,Beetles,Low,2,0
